id_utente,eta_utente,nazionalita_utente,occupazione_utente,categoria_preferita1,categoria_preferita2,categoria_preferita3,durata_media_sessioni,contenuto_preferito,durata_contenuto_preferito,attore_preferito,regista_preferito
001,25,Italiana,Studente,Commedia,Drammatico,Romantico,45,Friends,30,Jennifer Aniston,David Crane
002,35,Francese,Ingegnere,Sci-Fi,Thriller,Azione,50,Inception,148,Leonardo DiCaprio,Christopher Nolan
003,42,Spagnola,Medico,Drammatico,Crimine,Thriller,55,Breaking Bad,60,Bryan Cranston,Vince Gilligan
004,8,Statunitense,Bambino,Animazione,Commedia,Famiglia,40,SpongeBob SquarePants,22,Tom Kenny,Stephen Hillenburg
005,31,Inglese,Avvocato,Mistero,Crimine,Drammatico,60,Sherlock,90,Benedict Cumberbatch,Steven Moffat
006,29,Italiana,Imprenditore,Commedia,Azione,Avventura,50,The Marvelous Mrs. Maisel,45,Rachel Brosnahan,Amy Sherman-Palladino
007,38,Canadese,Insegnante,Documentario,Cucina,Viaggi,65,Chef's Table,60,N/A,David Gelb
008,33,Inglese,Programmatore,Sci-Fi,Horror,Thriller,55,Stranger Things,55,Millie Bobby Brown,The Duffer Brothers
009,45,Spagnola,Manager,Azione,Avventura,Fantasy,50,The Lord of the Rings,201,Elijah Wood,Peter Jackson
010,27,Francese,Studente,Commedia,Romantico,Drammatico,45,La La Land,128,Ryan Gosling,Damien Chazelle
011,36,Italiana,Architetto,Documentario,Arte,Storia,60,Abstract: The Art of Design,45,N/A,Morgan Neville
012,30,Statunitense,Ingegnere,Drammatico,Romantico,Storico,65,Downton Abbey,50,Hugh Bonneville,Julian Fellowes
013,29,Inglese,Scrittore,Horror,Thriller,Mistero,55,American Horror Story,45,Evan Peters,Ryan Murphy
014,34,Francese,Psicologo,Drammatico,Crimine,Thriller,55,True Detective,55,Matthew McConaughey,Nic Pizzolatto
015,40,Italiana,Avvocato,Commedia,Romantico,Drammatico,45,The Office,22,Steve Carell,Greg Daniels
016,5,Spagnola,Bambino,Animazione,Commedia,Famiglia,40,Paw Patrol,22,Justin Paul,Keith Chapman
017,39,Italiana,Medico,Documentario,Natura,Scienza,60,Our Planet,45,David Attenborough,Alastair Fothergill
018,32,Inglese,Musicista,Commedia,Azione,Avventura,50,Brooklyn Nine-Nine,22,Andy Samberg,Daniel J. Goor
019,28,Statunitense,Ingegnere,Horror,Thriller,Mistero,55,Black Mirror,55,N/A,Charlie Brooker
020,37,Francese,Imprenditore,Crimine,Drammatico,Thriller,60,Narcos,50,Wagner Moura,Chris Brancato
021,41,Italiana,Designer,Commedia,Fantasy,Avventura,50,Game of Thrones,60,Kit Harington,David Benioff
022,24,Inglese,Studente,Fantasy,Avventura,Azione,50,Harry Potter,159,Daniel Radcliffe,David Yates
023,29,Spagnola,Architetto,Drammatico,Romantico,Musica,65,Bohemian Rhapsody,134,Rami Malek,Bryan Singer
024,35,Francese,Avvocato,Sci-Fi,Thriller,Azione,50,Blade Runner 2049,164,Ryan Gosling,Denis Villeneuve
025,38,Inglese,Programmatore,Commedia,Romantico,Drammatico,45,Friends,22,Jennifer Aniston,David Crane
026,43,Italiana,Manager,Documentario,Crimine,Mistero,55,Making a Murderer,50,N/A,Laura Ricciardi
027,31,Statunitense,Ingegnere,Animazione,Commedia,Famiglia,40,The Simpsons,22,Dan Castellaneta,Matt Groening
028,27,Inglese,Scrittore,Horror,Thriller,Mistero,55,American Horror Story,45,Evan Peters,Ryan Murphy
